Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Marina Kunac,F,SBD,Raw,29,24-34,24-39,Open,81.9,84,117.5,125,135,,135,62.5,67.5,-70,,67.5,147.5,155,-160,,155,357.5,3,332.98,322.97,282.84,68.20,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Nikolina Josipović,F,SBD,Raw,29,24-34,24-39,Open,68.5,69,145,152.5,155,,155,77.5,82.5,-87.5,,82.5,157.5,170,180,,180,417.5,2,427.40,421.67,371.87,86.85,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Andrea Milanko,F,SBD,Raw,42,40-44,40-49,Masters 1,91,84+,105,-115,125,,125,60,65,-67.5,,65,150,161.5,-170,,161.5,351.5,1,311.85,302.35,262.53,64.49,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mihael Bogdan,M,B,Raw,16,16-17,14-18,Sub-Juniors,90.2,93,,,,,,110,115,-120,,115,,,,,,115,1,74.28,73.33,70.28,55.39,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Filjak,M,SBD,Raw,17,16-17,14-18,Sub-Juniors,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Filip Vlaisavljević,M,SBD,Raw,20,20-23,19-23,Juniors,78.9,83,187.5,195,-202.5,,195,112.5,120,127.5,,127.5,195,210,217.5,,217.5,540,4,375.43,371.93,358.58,76.70,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Amar Kantarević,M,SBD,Raw,19,18-19,19-23,Juniors,100.2,105,212.5,227.5,-237.5,,227.5,135,140,145,,145,225,240,-255,,240,612.5,3,376.68,372.46,355.73,77.30,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Robin Kovačić,M,SBD,Raw,21,20-23,19-23,Juniors,89.9,93,190,205,-212.5,,205,125,135,-142.5,,135,240,262.5,-282.5,,262.5,602.5,2,389.80,384.85,368.86,80.14,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Kristian Lovey,M,B,Raw,22,20-23,19-23,Juniors,92.1,93,,,,,,132.5,137.5,142.5,,142.5,,,,,,142.5,2,91.09,89.94,86.11,67.93,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Martina Marjanović,F,SBD,Raw,31,24-34,24-39,Open,81.3,84,135,145,152.5,,152.5,65,70,75,,75,155,165,-170,,165,392.5,2,366.90,355.99,311.90,75.11,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
