Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Fran Hranilović,M,B,Raw,,,14-18,Sub-Juniors,82.4,83,,,,,,72.5,77.5,85,,85,,,,,,85,1,57.62,56.98,54.83,42.85,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Teo Imbrišić,M,B,Raw,,,19-23,Juniors,88,93,,,,,,130,140,-145,,140,,,,,,140,3,91.57,90.43,86.75,68.27,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Petar Ovčar,M,B,Raw,,,19-23,Juniors,80.5,83,,,,,,107.5,112.5,120,,120,,,,,,120,1,82.44,81.60,78.61,61.23,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Jakov Tenžera,M,SBD,Raw,,,,Open,134.6,120+,-210,210,-220,,210,200,-206,206,,206,220,237.5,250,,250,666,4,369.10,374.45,356.88,73.76,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Benjamin Varvodić,M,SBD,Raw,,,,Open,116,120,180,200,-207.5,,200,115,-125,125,,125,200,215,225,,225,550,7,319.54,318.85,305.30,64.90,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Robert Cindrić,M,SBD,Raw,,,,Open,107.3,120,190,200,-205,,200,135,-142.5,142.5,,142.5,235,245,255,,255,597.5,6,357.27,354.42,338.53,73.03,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lovre Čolak,M,SBD,Raw,,,,Open,118.2,120,245,260,270,,270,140,150,-155,,150,250,-265,265,,265,685,5,395.40,395.24,378.65,80.16,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Marko Siladi,M,SBD,Raw,,,,Open,74.2,83,122.5,130,137.5,,137.5,90,95,-100,,95,145,157.5,-162.5,,157.5,390,14,281.73,280.00,270.67,57.18,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Milačić,M,SBD,Raw,,,,Open,81.6,83,135,145,-155,,145,110,-120,120,,120,145,155,165,,165,430,13,293.11,289.98,279.15,60.04,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Silvio Krčelić,M,SBD,Raw,,,,Open,76.3,83,150,-162.5,172.5,,172.5,105,112.5,-120,,112.5,170,185,-192.5,,185,470,12,333.54,330.97,319.56,67.92,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mateo Vuk,M,SBD,Raw,,,,Open,81,83,167.5,-172.5,172.5,,172.5,112.5,-115,-120,,112.5,200,-202.5,-202.5,,200,485,11,332.01,328.55,316.39,67.97,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Jure Ljulj,M,SBD,Raw,27,24-34,24-39,Open,81.6,83,-180,180,-195,,180,120,130,137.5,,137.5,215,230,240,,240,557.5,9,380.02,375.96,361.93,77.84,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Žarko Novak,M,SBD,Raw,,,60-69,Masters 3,92.3,93,25,-75,-75,,25,120,133,-137,,133,65,-125,,,65,223,2,142.40,140.59,134.60,29.28,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Žarko Novak,M,B,Raw,,,60-69,Masters 3,91.5,93,,,,,,121,135,-141,,135,,,,,,135,1,86.58,85.47,81.86,64.56,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Vjekoslav Babić,M,SBD,Raw,,,50-59,Masters 2,78.2,83,60.5,70.5,80.5,,80.5,45.5,50.5,55.5,,55.5,100.5,110.5,115.5,,115.5,251.5,1,175.80,174.23,168.04,35.89,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Krešo Samardžija,M,SBD,Raw,,,40-49,Masters 1,118.9,120,195,-205,205,,205,125,130,135,,135,200,210,220,,220,560,1,322.61,322.66,309.15,65.36,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Janko Cerjan,M,SBD,Raw,,,14-18,Sub-Juniors,102.8,105,175,-187.5,195,,195,110,120,-127.5,,120,210,225,240,,240,555,2,337.63,334.19,319.10,69.20,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Roko Favro,M,SBD,Raw,,,14-18,Sub-Juniors,98.8,105,185,200,207.5,,207.5,125,135,-140,,135,222.5,237.5,240,,240,582.5,1,360.43,356.24,340.33,74.01,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Antun Mraz,M,SBD,Raw,,,14-18,Sub-Juniors,84.5,93,197.5,212.5,-225,,212.5,110,117.5,-120,,117.5,210,232.5,-250,,232.5,562.5,3,375.98,371.57,357.13,77.17,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Domagoj Lieli,M,SBD,Raw,,,14-18,Sub-Juniors,81.1,83,150,157.5,165,,165,100,105,-107.5,,105,185,200,205,,205,475,3,324.93,321.53,309.62,66.53,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Borna Smajić,M,SBD,Raw,,,14-18,Sub-Juniors,72.3,74,125,132.5,140,,140,82.5,87.5,90,,90,140,152.5,160,,160,390,1,286.58,285.27,276.07,57.95,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Karlo Knežević,M,SBD,Raw,,,19-23,Juniors,99.5,105,185,202.5,207.5,,207.5,112.5,122.5,130,,130,220,-240,245,,245,582.5,4,359.32,355.22,339.30,73.76,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dominik Vukić,M,SBD,Raw,,,19-23,Juniors,90.4,93,117.5,130,140,,140,105,-115,115,,115,135,150,165,,165,420,7,270.97,267.52,256.35,55.71,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Stipe Bilić,M,SBD,Raw,,,19-23,Juniors,91.2,93,135,145,155,,155,-120,120,122.5,,122.5,162.5,-177.5,-177.5,,162.5,440,6,282.63,279.03,267.27,58.11,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Jančić,M,SBD,Raw,,,19-23,Juniors,85,93,135,145,155,,155,102.5,110,115,,115,162.5,175,185,,185,455,5,303.15,299.54,287.83,62.23,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Hrvoje Ovčarić,M,SBD,Raw,,,19-23,Juniors,71.6,74,-135,140,150,,150,80,85,90,,90,140,155,165,,165,405,3,299.55,298.38,288.88,60.49,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivuša Dadić,M,SBD,Raw,,,19-23,Juniors,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mateja Žugec,F,B,Raw,,,,Disabled,49.6,52,,,,,,32.5,37.5,-40,,37.5,,,,,,37.5,1,47.26,48.47,43.05,37.53,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Nataša Despinić,F,SBD,Raw,,,40-49,Masters 1,72,76,110,-117.5,-120,,110,67.5,70.5,72.5,,72.5,137.5,144,150,,150,332.5,1,331.04,324.53,285.86,67.33,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Barbara Stankić,F,SBD,Raw,,,19-23,Juniors,72,76,112.5,-120,-120,,112.5,45,50,-52.5,,50,115,125,132.5,,132.5,295,5,293.70,287.93,253.62,59.74,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Maja Cikojević,F,SBD,Raw,,,19-23,Juniors,67.2,69,95,100,105,,105,50,52.5,55,,55,107.5,112.5,120,,120,280,3,289.82,286.69,252.92,58.89,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dino Čižmak,M,B,Raw,,,14-18,Sub-Juniors,147.1,120+,,,,,,-201.5,201.5,-211.5,,201.5,,,,,,201.5,1,108.93,111.80,105.86,78.37,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Kristijan Bošković,M,SBD,Raw,28.5,24-34,24-39,Open,114,120,-135,152.5,160,,160,-75,75,-80,,75,145,160,-167.5,,160,395,9,230.90,230.06,220.15,46.97,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dalibor Leljak,M,SBD,Raw,,,,Open,95.9,105,142.5,155,-160,,155,130,142.5,-147.5,,142.5,175,190,195,,195,492.5,15,308.86,305.06,291.66,63.48,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lidija Novković,F,SBD,Raw,29.5,24-34,24-39,Open,98.5,84+,115,130,140,,140,60,65,70,,70,120,135,-150,,135,345,1,296.16,288.55,248.35,61.78,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lidija Novković,F,B,Raw,29.5,24-34,24-39,Open,98.8,84+,,,,,,52.5,57.5,62.5,,62.5,,,,,,62.5,1,53.59,52.22,44.93,45.21,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Monika Smetiško,F,SBD,Raw,,,,Open,62,63,80,90,95,,95,52.5,-57.5,-57.5,,52.5,125,130,-135,,130,277.5,8,301.39,301.67,266.43,61.35,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Monika Smetiško,F,B,Raw,,,,Open,62.7,63,,,,,,47.5,55,57.5,,57.5,,,,,,57.5,3,62.02,61.98,54.73,48.11,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lorena Jauševac,F,SBD,Raw,,,,Open,56,57,120,-125,127.5,,127.5,55,57.5,-60,,57.5,120,132.5,-137.5,,132.5,317.5,3,368.02,373.57,330.44,75.48,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ana Perković,F,SBD,Raw,,,50-59,Masters 2,59.4,63,40,-45,47.5,,47.5,35,40,42.5,,42.5,65,75,80,,80,170,2,189.66,191.01,168.79,38.70,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Simona Jelušić,F,SBD,Raw,,,19-23,Juniors,73,76,125,-130,130,,130,55,60,-62.5,,60,130,140,150,,150,340,2,335.97,328.85,289.55,68.36,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Robert Lipohar,M,SBD,Raw,24,24-34,24-39,Open,102.9,105,190,205,212.5,,212.5,107.5,110,-117.5,,110,200,217.5,225,,225,547.5,13,332.94,329.55,314.68,68.24,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Marko Ugljarević,M,SBD,Raw,24,24-34,24-39,Open,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Matija Pongrac,M,SBD,Raw,28,24-34,24-39,Open,90.9,93,150,160,170,,170,132.5,140,145,,145,185,205,212.5,,212.5,527.5,12,339.39,335.07,320.99,69.78,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Patrik Papac,M,SBD,Raw,26,24-34,24-39,Open,104.2,105,200,210,220,,220,130,135,140,,140,235,245,252.5,,252.5,612.5,9,370.54,367.00,350.43,75.89,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivan Kolak,M,SBD,Raw,31,24-34,24-39,Open,81.6,83,167.5,180,185,,185,110,117.5,-122.5,,117.5,230,242.5,-252.5,,242.5,545,10,371.50,367.53,353.81,76.09,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Goran Pečić,M,SBD,Raw,54,50-54,50-59,Masters 2,110.3,120,-165,170,180,,180,100,107.5,-110,,107.5,165,180,195,,195,482.5,2,285.48,283.71,271.18,58.24,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Vedran Mažuran Marjanović,M,SBD,Raw,47,45-49,40-49,Masters 1,109.9,120,155,170,177.5,,177.5,117.5,125,-130,,125,170,197.5,205,,205,507.5,2,300.68,298.74,285.52,61.36,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Vedran Mažuran Marjanović,M,B,Raw,47,45-49,40-49,Masters 1,109.8,120,,,,,,110,120,-130,,120,,,,,,120,1,71.12,70.66,67.53,52.64,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Marin Rončević,M,SBD,Raw,44,40-44,40-49,Masters 1,102.8,105,170,-185,185,,185,115,120,-125,,120,-220,230,242.5,,242.5,547.5,1,333.07,329.67,314.79,68.27,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Rino Eterović,M,SBD,Raw,23,20-23,19-23,Juniors,105,105,180,190,200,,200,100,105,-107.5,,105,192.5,205,220,,220,525,6,316.63,313.72,299.57,64.82,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Fran Ljubić,M,SBD,Raw,23,20-23,19-23,Juniors,101.8,105,-210,-220,225,,225,-142.5,-155,-155,,,250,272.5,-280,,272.5,,DQ,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Nino Bobovčan,M,SBD,Raw,20,20-23,19-23,Open,72.8,74,130,142.5,150,,150,90,95,-100,,95,137.5,145,-150,,145,390,8,285.27,283.84,274.61,57.74,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Hrvoje Sedak,M,SBD,Raw,20,20-23,19-23,Juniors,78.2,83,-155,160,170,,170,92.5,97.5,102.5,,102.5,180,195,207.5,,207.5,480,6,335.52,332.52,320.71,68.49,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Tea Tereza Jelinić,F,SBD,Raw,17,16-17,14-18,Open,75.7,76,145,155,160,,160,62.5,67.5,70,,70,160,167.5,172.5,,172.5,402.5,3,390.11,380.43,334.52,79.50,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Paola Mileusnić,F,SBD,Raw,18,18-19,14-18,Sub-Juniors,58.9,63,82.5,87.5,-95,,87.5,-52.5,55,-60,,55,112.5,120,127.5,,127.5,270,2,302.85,305.38,269.89,61.83,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Tara Grabrovac,F,SBD,Raw,15,13-15,14-18,Sub-Juniors,58,63,87.5,95,-100,,95,50,55,-57.5,,55,105,112.5,117.5,,117.5,267.5,3,303.03,306.21,270.68,61.94,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Natali Rade,F,SBD,Raw,35,35-39,24-39,Open,67.8,69,97.5,107.5,-115,,107.5,42.5,47.5,-50,,47.5,125,135,-142.5,,135,290,5,298.63,295.04,260.25,60.68,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Sara Magaš,F,SBD,Raw,25,24-34,24-39,Open,67.3,69,107.5,115,122.5,,122.5,70,75,80,,80,130,145,160,,160,362.5,4,374.89,370.76,327.08,76.17,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dora Tot,F,B,Raw,32,24-34,24-39,Open,62,63,,,,,,65,-70,70,,70,,,,,,70,1,76.03,76.10,67.21,58.95,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dora Tot,F,SBD,Raw,32,24-34,24-39,Open,61.7,63,-122.5,127.5,-135,,127.5,70,75,-80,,75,140,155,-162.5,,155,357.5,4,389.45,390.08,344.54,79.29,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Laura Jagečić,F,SBD,Raw,26,24-34,24-39,Open,50.2,52,95,-100,100,,100,55,60,-65.5,,60,100,117.5,127.5,,127.5,287.5,1,359.22,368.22,326.89,74.88,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Sandra Havliček,F,SBD,Raw,52,50-54,50-59,Masters 2,67.9,69,62.5,67.5,-72.5,,67.5,32.5,35,37.5,,37.5,92.5,100,105,,105,210,2,216.07,213.43,188.25,43.90,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivančica Koren,F,SBD,Raw,50,50-54,50-59,Masters 2,68.2,69,90,95,97.5,,97.5,55,57.5,60,,60,120,125,130,,130,287.5,1,295.06,291.28,256.90,59.95,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Vjeran Labrović,M,B,Raw,27,24-34,24-39,Open,86,93,,,,,,97.5,102.5,107.5,,107.5,,,,,,107.5,3,71.17,70.31,67.52,53.03,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Leon Batelka,M,SBD,Raw,20,20-23,19-23,Juniors,79.8,83,-172.5,180,-187.5,,180,95,100,-105,,100,-177.5,177.5,190,,190,470,7,324.57,321.38,309.69,66.37,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lara Dragičević,F,SBD,Raw,21,20-23,19-23,Juniors,72.3,76,102.5,-107.5,107.5,,107.5,57.5,60,62.5,,62.5,132.5,140,-145,,140,310,3,307.94,301.74,265.75,62.64,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Karla Škvorc,F,B,Raw,26,24-34,24-39,Open,55.5,57,,,,,,65,70,72.5,,72.5,,,,,,72.5,1,84.54,85.91,76.00,65.76,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Josipa Turkalj,F,SBD,Raw,,,,Open,80.9,84,92.5,100,107.5,,107.5,47.5,52.5,-57.5,,52.5,110,120,-125,,120,280,5,262.37,254.63,223.16,53.69,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mihael Iličević,M,B,Raw,19,18-19,19-23,Juniors,111.6,120,,,,,,135,140,145,,145,,,,,,145,1,85.42,84.96,81.24,63.15,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivan Doljankić,M,SBD,Raw,,,,Open,91.3,93,205,225,-235,,225,132.5,142.5,-147.5,,142.5,225,242.5,250,,250,617.5,5,396.43,391.39,374.88,81.51,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivan Janković,M,SBD,Raw,25,24-34,24-39,Open,82.3,83,195,207.5,-212.5,,207.5,135,140,145,,145,205,220,225,,225,577.5,7,391.73,387.43,372.83,80.28,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Vlaho Zlošilo,M,SBD,Raw,,,60-69,Masters 3,91,93,120,127.5,137.5,,137.5,80,85,90,,90,150,161.5,172.5,,172.5,400,1,257.22,253.94,243.26,52.89,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Pešić,M,SBD,Raw,19,18-19,19-23,Open,105.8,120,162.5,172.5,177.5,,177.5,-82.5,87.5,90,,90,200,-210,210,,210,477.5,G,287.10,284.58,271.77,58.75,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Filip Humski,M,SBD,Raw,18.5,18-19,19-23,Juniors,78.6,83,140,-152.5,155,,155,87.5,-95,-95,,87.5,150,160,-165,,160,402.5,8,280.48,277.91,267.98,57.28,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Samuel Sobočan,M,SBD,Raw,19,18-19,19-23,Juniors,71.7,74,140,147.5,-160,,147.5,107.5,115,120,,120,180,192.5,202.5,,202.5,470,1,347.30,345.91,334.87,70.14,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Fabijan Kordas,M,B,Raw,20,20-23,19-23,Juniors,102.1,105,,,,,,140,147.5,152.5,,152.5,,,,,,152.5,1,93.04,92.06,87.91,69.18,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Domagoj Zovkić,M,SBD,Raw,22,20-23,19-23,Juniors,92.4,93,-185,-195,195,,195,115,125,130,,130,-250,-265,265,,265,590,3,376.56,371.78,355.92,77.43,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Andrej Cirkveni,M,SBD,Raw,24,24-34,24-39,Open,79.2,83,120,-127.5,130,,130,80,-85,-90,,80,170,180,-190,,180,390,15,270.53,267.96,258.30,55.29,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
